year,month,day,title,time,cast
2025,1,4,뮤지컬 [클로버],19:00,강찬 홍성원
2025,1,7,뮤지컬 [클로버],20:00,강찬 홍성원
2025,1,8,뮤지컬 [클로버],20:00,강찬 홍성원
2025,1,12,뮤지컬 [클로버],14:00,고상호 홍성원
2025,1,13,"[무명, 준희] 작은 음악회",20:00,
2025,1,14,뮤지컬 [클로버],20:00,강찬 홍성원
2025,1,15,뮤지컬 [클로버],20:00,고상호 홍성원
2025,1,17,뮤지컬 [클로버],20:00,강찬 홍성원
2025,1,19,뮤지컬 [클로버],14:00,임태현 홍성원
2025,1,21,뮤지컬 [클로버],20:00,고상호 홍성원
2025,1,22,뮤지컬 [클로버],20:00,강찬 홍성원
2025,1,24,"뮤지컬 [무명, 준희]",20:00,홍성원 임진섭 최은영
2025,1,25,뮤지컬 [클로버],15:00,강찬 홍성원
2025,1,26,뮤지컬 [클로버],14:00,임태현 홍성원
2025,1,28,"뮤지컬 [무명, 준희]",20:00,홍성원 임진섭 임하윤
2025,1,30,"뮤지컬 [무명, 준희]",20:00,홍성원 박상준 임하윤
2025,2,1,"뮤지컬 [무명, 준희]",15:00,홍성원 박상준 임하윤
2025,2,2,"뮤지컬 [무명, 준희]",18:00,홍성원 이석준 최은영
2025,2,5,"뮤지컬 [무명, 준희]",16:00,홍성원 임진섭 최은영
2025,2,9,"뮤지컬 [무명, 준희]",18:00,홍성원 이석준 최은영
2025,2,11,"뮤지컬 [무명, 준희]",20:00,홍성원 박상준 최은영
2025,2,14,"뮤지컬 [무명, 준희]",20:00,홍성원 박상준 임하윤
2025,2,16,"뮤지컬 [무명, 준희]",18:00,홍성원 이석준 임하윤
2025,2,19,"뮤지컬 [무명, 준희]",16:00,홍성원 박상준 최은영
2025,2,23,"뮤지컬 [무명, 준희]",14:00,홍성원 이석준 최은영
2025,2,26,"뮤지컬 [무명, 준희]",16:00,홍성원 이석준 최은영
2025,2,28,"뮤지컬 [무명, 준희]",20:00,홍성원 임진섭 최은영
2025,3,2,"뮤지컬 [무명, 준희]",14:00,홍성원 이석준 최은영
2025,3,3,"뮤지컬 [무명, 준희]",18:00,홍성원 박상준 임하윤
2025,3,5,"뮤지컬 [무명, 준희]",20:00,홍성원 임진섭 임하윤
2025,3,8,"뮤지컬 [무명, 준희]",15:00,홍성원 박상준 최은영
2025,3,9,"뮤지컬 [무명, 준희]",18:00,홍성원 임진섭 임하윤
2025,3,12,"뮤지컬 [무명, 준희]",20:00,홍성원 박상준 임하윤
2025,3,16,"뮤지컬 [무명, 준희]",18:00,홍성원 임진섭 임하윤
2025,3,19,"뮤지컬 [무명, 준희]",16:00,홍성원 이석준 임하윤
2025,3,22,"뮤지컬 [무명, 준희]",15:00,홍성원 임진섭 임하윤
2025,3,23,"뮤지컬 [무명, 준희]",18:00,홍성원 박상준 최은영
2025,3,25,"뮤지컬 [무명, 준희]",20:00,홍성원 이석준 임하윤
2025,3,27,"뮤지컬 [무명, 준희]",20:00,홍성원 임진섭 임하윤
2025,3,28,"뮤지컬 [무명, 준희]",20:00,홍성원 이석준 임하윤
2025,3,30,"뮤지컬 [무명, 준희]",18:00,홍성원 박상준 임하윤
2025,4,1,"뮤지컬 [무명, 준희]",20:00,홍성원 이석준 최은영
2025,4,2,"뮤지컬 [무명, 준희]",20:00,홍성원 이석준 임하윤
2025,4,4,"뮤지컬 [무명, 준희]",20:00,홍성원 이석준 임하윤
2025,4,5,"뮤지컬 [무명, 준희]",19:00,홍성원 임진섭 최은영
2025,5,22,뮤지컬 [개와 고양이의 시간],20:00,홍성원 니엘
2025,5,24,뮤지컬 [개와 고양이의 시간],15:00,홍성원 유태율
2025,5,24,뮤지컬 [개와 고양이의 시간],19:00,홍성원 박좌헌
2025,5,30,뮤지컬 [개와 고양이의 시간],20:00,홍성원 유태율
2025,6,5,뮤지컬 [개와 고양이의 시간],20:00,홍성원 니엘
2025,6,8,뮤지컬 [개와 고양이의 시간],14:00,홍성원 니엘
2025,6,8,뮤지컬 [개와 고양이의 시간],18:00,홍성원 박좌헌
